Pagina,Id,Numero,E' placeholder?,ITA,ENG
Sign up,0,1,,Registra la tua squadra,Register your team
,0,2,,Nome*,Name*
,0,3,,Cognome*,Surname*
,0,4,,Email*,Email*
,0,5,,Password*,Password*
,0,6,,Ripeti Password*,Repeart Password*
,0,7,,Hai un codice sconto? Inseriscilo,Do you have a discount code? Enter it
,0,8,,Registrati,Sign up
,0,9,,Se sei già registrato o hai un account sull'app di MUV accedi.,"If you are already registered or have an account on the MUV app, please sign in."
,0,10,,Il Futuro è un gioco di squadra,Future is a Team sport
,0,11,,"Iscrivi il tuo Istituto, convoca studenti, genitori, corpo docente e personale, allenati, accetta le sfide e guida il tuo Team!","Sign up your Institute, bring together students, parents, faculty and staff, practice, face challenges and lead your Team!"
,0,12,,"Iscrivi la tua Organizzazione, convoca colleghi e supporter, allenati, accetta le sfide e guida il tuo Team!","Enroll your Organization, bring colleagues and supporters together, practice, face challenges and lead your Team!"
Modale,1,1,,"Ciao %Nome%, ti diamo il benvenuto in MUV!
Per completare la registrazione del tuo team e iniziare a giocare devi completare queste 3 sezioni:","Hello %Name%, we welcome you to MUV!
To complete your team registration and start playing you just need to complete these 3 sections:"
,1,2,,1. Profilo,1. Profile
,1,3,,Inserisci le informazioni necessarie a perfezionare il profilo.,Enter the information needed to complete your profile.
,1,4,,2. Team,2. Team
,1,5,,Personalizza la tua squadra scegliendo i colori e lo scudetto.,Customize your team by choosing the colours and the badge.
,1,6,,3. Abbonamento,3. Subscription
,1,7,,Inserisci un codice sconto e scegli il piano che preferisci.,Enter a discount code and and select the plan you prefer.
,1,8,,Tutto chiaro!,Totally clear!
,1,9,,Ricordamelo,Remind me
Barra laterale,2,1,,Il tuo account,Your account
,2,2,,Profilo,Profile
,2,3,,Abbonamento,Subscription
,2,4,,Team,Team
,2,5,,Report,Report
,2,6,,Costruisci il tuo team,Build your team
Profilo,3,1,,Nome istituto*,Institute name*
,3,29,,Dati Ateneo,University Data
,3,30,,Dati Scuola,School Data
,3,31,,Dati Organizzazione,Organization Data
,3,32,,Dati Azienda,Company Data
,3,2,,Inserisci i dati relativi al tuo Ateneo,Enter your University data
,3,33,,Inserisci i dati relativi alla tua Scuola,Enter your School data
,3,34,,Inserisci i dati relativi alla tua Organizzazione,Enter your Organization data
,3,35,,Inserisci i dati relativi alla tua Azienda,Enter your Company data
,3,3,,Ragione sociale*,Company name*
,3,4,,Logo,Logo
,3,5,,Carica,Upload
,3,6,,nessun file selezionato,no file selected
,3,7,,Tipologia*,Typology*
,3,8,,Settore*,Sector*
,3,9,,Numero di dipendenti*,Number of employees*
,3,10,,Indirizzo principale*,Main address*
,3,11,,Aggiungi altre sedi,Add other locations
,3,12,,clicca qui per aggiungere altre sedi,click here to add other locations
,3,13,,Indirizzo,Address
,3,14,,Nome sede,Name of location
,3,15,,Dati Referente,Contact data
,3,16,,Inserisci le informazioni relative al referente per MUV,Please enter the information of the contact person for MUV
,3,17,,Ruolo*,Position*
,3,18,s,Che ruolo ricopri all'interno dell'azienda?,What is your position within the company?
,3,19,s,Che ruolo ricopri nell'organizzzione?,What is your position in the organisation?
,3,20,s,Che ruolo ricopri nella scuola?,What is your position in the school?
,3,21,s,Che ruolo ricopri all'interno dell'università?,What is your position within the university?
,3,22,,Telefono*,Phone*
,3,23,,Dati di accesso,Access data
,3,24,,Cambia email,Change email
,3,25,,Cambia password,Change password
,3,26,,,
,3,27,,Nessuna sede secondaria è stata aggiunta.,No secondary location has been added.
,3,28,,Se vuoi modificare l'indirizzo email scrivici a help@muvgame.com.,If you want to change your email address please contact us at help@muvgame.com.
,3,36,,,
Abbonamento,4,1,,Dati Abbonamento,Subscription Data
,4,2,,Qui sono raccolte le informazioni sul tuo piano di abbonamento a MUV.,Information about your MUV subscription plan is collected here.
,4,3,,Piano di abbonamento,Subscription plan
,4,4,,Pagamento completato,Payment completed
,4,5,,Importo pagato,Amount paid
,4,6,,Il tuo piano di abbonamento sarà attivo fino al,Your subscription plan will be active until
