NOTE,DOMAIN,PAGE,ID,NATURAL,ITA,SPA,CAT,POR
,0,Wellcome,1,"By clicking Sign up or Login, you agree to our %Terms%. Learn how we handle your data in our %Privacy Policy%.","Cliccando su Registrati o su Accedi, confermi di accettare le nostre %Condizioni%. Scopri come gestiamo i tuoi dati nella nostra %Informativa sulla Privacy.%",,,
,0,,2,Sign up,Registrati,,,
,0,,3,Sign in,Accedi,,,
,0,,4,Sign in with Facebook,Accedi con Facebook,,,
,0,,5,Sign in with Google,Accedi con Google,,,
,0,Login,6,Email,Email,,,
,0,,7,Password (9 chars),Password (9 caratteri),,,
,0,,8,Login,Login,,,
,0,,9,Trouble logging in?,Non riesci ad accedere?,,,
,0,,10,Oops!,Ops!,,,
,0,,11,"Your login info isn't right. 
Please check and try again.","I tuoi dati di accesso non sono corretti. 
Per favore, controlla e riprova.",,,
,0,,12,OK,OK,,,
,0,Sign in,13,Nickname,Nickname,,,
,0,,14,Name,Nome,,,
,0,,15,Surname,Cognome,,,
,0,,16,Next,Avanti,,,
,0,,17,Something's wrong,Qualcosa non va,,,
,0,,18,Please correct the wrong fields:,"Per favore, correggi i campi sbagliati:",,,
,0,,19,"- select a nickname from a minimum of 4 to a maximum of 20 characters among letters, numbers, ""."" and ""_""","- seleziona un nickname formato da un minimo di 4 a un massimo di 20 caratteri scelti tra lettere, numeri, ""."" e ""_""",,,
,,,20,- the name must be between 2 and 20 characters,- il nome deve essere compreso tra 2 e 20 caratteri,,,
,0,,21,- the surname must be between 2 and 20 characters,- il cognome deve essere compreso tra 2 e 20 caratteri,,,
da confermare i domini,0,,22,- enter a valid email address such as: @eni.com or @eniservizi.eni.it,- inserisci un indirizzo mail valido del tipo: @eni.com o @eniservizi.eni.it,,,
,0,,23,- the password must be at least 9 characters long ,- la password deve avere una lunghezza minima di 9 caratteri ,,,
,0,,25,Nickname already taken,Nickname già preso,,,
,0,,26,Please pick a new nickname as this must be unique.,"Per favore, scegli un nuovo nickname poiché questo deve essere unico.",,,
,0,,0,,,,,
,0,,0,Please select your Avatar,Seleziona il tuo avatar,,,
,0,,0,You can always change it in the Profile section,Puoi sempre cambiare questa informazione nella sezione Profilo.,,,
,0,,0,Go on,Avanti,,,
Da togliere?,0,,0,Dear,Caro,,,
Da togliere?,0,,0,MUVer,"MUVer,",,,
Da togliere?,0,,0,In compliance with the provisions of EC Regulation 2016/679 (so-called,In conformità alle disposizioni della CE 2016/679 (c.d.,,,
Da togliere?,0,,0,") regarding the protection of privacy and personal data of citizens of the European Union, you have the right to accept or not accept the following features that, if so, will ensure a complete and optimal gaming experience.",") in materia di protezione dei dati personali dei cittadini dell'Unione Europea, hai il diritto di accettare o meno le seguenti condizioni che, in caso affermativo, garantiranno un'esperienza di gioco completa e ottimale.",,,
Da togliere?,0,,0,Please note that these choices can be changed at any time by accessing the Settings section of the app and updating one or more options.,Si ricorda che queste scelte possono essere modificate in qualsiasi momento accedendo alla sezione Impostazioni dell'applicazione e aggiornando una o più opzioni.,,,
,0,,0,GO,,,,
Da togliere?,0,,0,Customized content,,,,
Da togliere?,0,,0,Receive personal advice on my mobility habits (“recommendations”) and enable customized game dynamics ( “trainings” and “challenges”) for a more engaging experience.,,,,
Da togliere?,0,,0,Commercially usable datasets,,,,
Da togliere?,0,,0,Allow data produced via the MUV app to be stored in an absolutely anonymous way in order to create commercially usable datasets.,,,,
Da togliere?,0,,0,Mailing list,,,,
Da togliere?,0,,0,"Be added to the mailing list to receive information about MUV updates and new features, as well as about new prizes and challenges available. We promise to send you only a few emails from time to time.",,,,
Da togliere?,0,,0,Sponsorship offers and rewards,,,,
Da togliere?,0,,0,Receive sponsorship offers from MUV Partners and be rewarded with prizes and discounts from the greenest shops in my city.,,,,
,0,,0,Informed consent,Consenso informato,,,
,0,,0,No,,,,
,0,,0,Yes,,,,
,0,,0,"Now you're all set, Newbie! 🎉 🙌","Adesso è tutto pronto, Newbie! 🎉 🙌",,,
,0,,0,"Start MUVing, training and competing to get to the next level!","Inizia a MUoVerti, allenarti e gareggiare per raggiungere il prossimo livello!",,,
,0,,0,Let's start for real!,Iniziamo a fare sul serio!,,,
Da riformulare e scrivere in inglese,0,,0,username deve essere formato da almeno 4 caratteri con un limite di 20 caratteri,username deve essere formato da almeno 4 caratteri con un limite di 20 caratteri,,,
,0,,0,insert the address,Inserisci l'indirizzo,,,
,0,,0,mon,lun,,,
,0,,0,tue,mar,,,
,0,,0,wed,mer,,,
,0,,0,thu,gio,,,
,0,,0,fri,ven,,,
,0,,0,sat,sab,,,
,0,,0,sun,dom,,,
,0,,0,"Please enter the starting and the destination address of your trip. We won’t save the location, only the surrounding area.",Inserisci il punto di partenza e quello di arrivo del tuo tragitto. Non salveremo il luogo esatto ma l'area circostante.,,,
Da riformulare e scrivere in inglese,0,,0,andata,andata,,,
Da riformulare e scrivere in inglese,0,,0,ritorno,ritorno,,,
,0,,0,Home,Casa,,,
,0,,0,Work,Lavoro,,,
,0,,0,School/University,Scuola/Università,,,
,0,,0,Mom/Dad,Mamma/Papà,,,
,0,,0,Grandma/Grandpa,Nonna/o,,,
,0,,0,Girlfriend/Boyfriend,Fidanzata/o,,,
,0,,0,Kids' school,Scuola dei bambini,,,
,0,,0,Supermarket,Supermercato,,,
,0,,0,Gym,Palestra,,,
,0,,0,Work #2,Lavoro #2,,,
,0,,0,Friend's place,Casa di amici,,,
,0,,0,Bar/Restaurant,Bar/Ristorante,,,
,0,,0,Cinema/Theater,Cinema/Teatro,,,
,0,,0,Other,Altro,,,
